
      VARNAME   NUMBER   BEG   END   SEMICOLON   ASSIGN   LPAREN   RPAREN   MINUS   PLUS   TIMES   DIVIDE   IF   THEN   ENDIF   ELSE   NOT   EQUAL   GREATER   SMALLER   WHILE   DO   ENDWHILE   FOR   FROM   BY   TO   ENDFOR   PRINT   READ   END_OF_STREAM   
BEG:  []  []  ['M']  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []
END:  []  []  []  ['A']  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []
SEMICOLON:  []  []  []  []  ['M']  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []
ASSIGN:  []  []  []  []  []  ['M']  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []
LPAREN:  []  []  []  []  []  []  ['M']  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []
RPAREN:  []  []  []  []  []  []  []  ['M']  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []
MINUS:  []  []  []  []  []  []  []  []  ['M']  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []
PLUS:  []  []  []  []  []  []  []  []  []  ['M']  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []
TIMES:  []  []  []  []  []  []  []  []  []  []  ['M']  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []
DIVIDE:  []  []  []  []  []  []  []  []  []  []  []  ['M']  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []
IF:  []  []  []  []  []  []  []  []  []  []  []  []  ['M']  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []
THEN:  []  []  []  []  []  []  []  []  []  []  []  []  []  ['M']  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []
ENDIF:  []  []  []  []  []  []  []  []  []  []  []  []  []  []  ['M']  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []
ELSE:  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  ['M']  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []
NOT:  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  ['M']  []  []  []  []  []  []  []  []  []  []  []  []  []  []
EQUAL:  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  ['M']  []  []  []  []  []  []  []  []  []  []  []  []  []
GREATER:  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  ['M']  []  []  []  []  []  []  []  []  []  []  []  []
SMALLER:  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  ['M']  []  []  []  []  []  []  []  []  []  []  []
WHILE:  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  ['M']  []  []  []  []  []  []  []  []  []  []
DO:  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  ['M']  []  []  []  []  []  []  []  []  []
ENDWHILE:  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  ['M']  []  []  []  []  []  []  []  []
FOR:  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  ['M']  []  []  []  []  []  []  []
FROM:  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  ['M']  []  []  []  []  []  []
BY:  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  ['M']  []  []  []  []  []
TO:  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  ['M']  []  []  []  []
ENDFOR:  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  ['M']  []  []  []
PRINT:  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  ['M']  []  []
READ:  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  ['M']  []
END_OF_STREAM:  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  []  ['M']
